order_date,order_id,buyer_code,marketplace,product_id,product_category,order_quantity,price_unit,price_unit_vat,carrier,customer_postal,customer_destination
2019-01-02 00:01:00,SO27718,69,ZILINGO,64753,Outdoor,1," 90,772 "," 99,849 ",Zilingo Pick Up,50279,Jawa Tengah
2019-01-02 00:01:00,SO27719,70,ZILINGO,67681,Lifestyle,1," 133,500 "," 146,850 ",Zilingo Pick Up,45849,sulawesi utara
2019-01-02 00:01:00,SO27720,71,ZILINGO,69728,Lifestyle,1," 127,136 "," 139,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,67613,Outdoor,1," 77,136 "," 84,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,67427,Lifestyle,1," 68,045 "," 74,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,64761,Lifestyle,1," 81,681 "," 89,849 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,64759,Lifestyle,1," 68,045 "," 74,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,67430,Outdoor,1," 154,409 "," 169,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,60286,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,67637,Outdoor,1," 195,318 "," 214,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,64708,Lifestyle,1," 195,318 "," 214,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,64753,Outdoor,1," 90,772 "," 99,849 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,67674,Outdoor,1," 103,500 "," 113,850 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27720,71,ZILINGO,60251,Outdoor,2," 88,500 "," 97,350 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27721,72,ZILINGO,71059,Riding,1," 149,863 "," 164,849 ",Zilingo Pick Up,91671,Sulawesi Selatan
2019-01-02 00:01:00,SO27722,43,ZILINGO,60450,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27723,43,ZILINGO,60445,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27724,73,ZILINGO,64072,Work,1," 263,500 "," 289,850 ",Zilingo Pick Up,80361,Bali
2019-01-02 00:01:00,SO27725,74,ZILINGO,71058,Riding,1," 149,863 "," 164,849 ",Zilingo Pick Up,63461,jawa timur
2019-01-02 00:01:00,SO27726,75,ZILINGO,67356,Outdoor,1," 140,772 "," 154,849 ",Zilingo Pick Up,45311,Jawa Barat
2019-01-02 00:01:00,SO27726,75,ZILINGO,60453,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,45311,Jawa Barat
2019-01-02 00:01:00,SO27726,75,ZILINGO,60454,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,45311,Jawa Barat
2019-01-02 00:01:00,SO27727,76,ZILINGO,60286,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,51315,Jawa Tengah
2019-01-02 00:01:00,SO27728,77,ZILINGO,64026,Work,1," 345,318 "," 379,850 ",Zilingo Pick Up,98315,Papua Barat
2019-01-02 00:01:00,SO27729,78,ZILINGO,60389,Outdoor,1," 73,500 "," 80,850 ",Zilingo Pick Up,15505,dki jakarta
2019-01-02 00:01:00,SO27730,79,ZILINGO,71059,Riding,1," 149,863 "," 164,849 ",Zilingo Pick Up,50552,Jawa Tengah
2019-01-02 00:01:00,SO27731,80,ZILINGO,64142,Lifestyle,1," 145,318 "," 159,850 ",Zilingo Pick Up,45264,jawa barat
2019-01-02 00:01:00,SO27732,81,ZILINGO,69786,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,99351,papua
2019-01-02 00:01:00,SO27733,81,ZILINGO,60286,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,99351,papua
2019-01-02 00:01:00,SO27734,82,ZILINGO,60400,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,55762,Jawa Tengah
2019-01-02 00:01:00,SO27735,67,ZILINGO,60386,Outdoor,1," 127,136 "," 139,850 ",Zilingo Pick Up,40381,Jawa Barat
2019-01-02 00:01:00,SO27736,83,ZILINGO,60491,Riding,1," 127,136 "," 139,850 ",Zilingo Pick Up,67156,Jawa Timur
2019-01-02 00:01:00,SO27675,84,ZILINGO,61463,Outdoor,1," 158,954 "," 174,849 ",Zilingo Pick Up,67282,jawa timur
2019-01-02 00:01:00,SO27676,85,ZILINGO,60435,Outdoor,1," 193,500 "," 212,850 ",Zilingo Pick Up,17116,Jawa Barat
2019-01-02 00:01:00,SO27677,86,ZILINGO,60410,Outdoor,1," 153,500 "," 168,850 ",Zilingo Pick Up,98416,Papua Barat
2019-01-02 00:01:00,SO27678,87,ZILINGO,60176,Outdoor,1," 172,590 "," 189,849 ",Zilingo Pick Up,56511,jawa tengah
2019-01-02 00:01:00,SO27679,88,ZILINGO,60259,Outdoor,1," 186,227 "," 204,850 ",Zilingo Pick Up,11610,DKI Jakarta
2019-01-02 00:01:00,SO27680,71,ZILINGO,63131,Outdoor,2," 85,772 "," 94,349 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27680,71,ZILINGO,61462,Outdoor,3," 61,984 "," 68,182 ",Zilingo Pick Up,34162,lampung
2019-01-02 00:01:00,SO27681,89,ZILINGO,68223,Outdoor,1," 331,681 "," 364,849 ",Zilingo Pick Up,54813,Jawa Tengah
2019-01-02 00:01:00,SO27682,90,ZILINGO,64085,Work,1," 86,227 "," 94,850 ",Zilingo Pick Up,53316,Jawa Tengah
2019-01-02 00:01:00,SO27673,43,ZILINGO,67608,Outdoor,1," 136,227 "," 149,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27684,91,ZILINGO,60443,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,55198,Jawa Tengah
2019-01-02 00:01:00,SO27685,92,ZILINGO,63131,Outdoor,1," 158,045 "," 173,850 ",Zilingo Pick Up,11470,DKI Jakarta
2019-01-02 00:01:00,SO27672,93,ZILINGO,67674,Outdoor,1," 103,500 "," 113,850 ",Zilingo Pick Up,79672,Kalimantan Barat
2019-01-02 00:01:00,SO27686,94,ZILINGO,60400,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,62271,Jawa Timur
2019-01-02 00:01:00,SO27687,74,ZILINGO,67608,Outdoor,1," 136,227 "," 149,850 ",Zilingo Pick Up,63461,jawa timur
2019-01-02 00:01:00,SO27688,95,ZILINGO,60446,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,51355,Jawa Tengah
2019-01-02 00:01:00,SO27688,95,ZILINGO,60405,Outdoor,1," 153,500 "," 168,850 ",Zilingo Pick Up,51355,Jawa Tengah
2019-01-02 00:01:00,SO27689,43,ZILINGO,67632,Lifestyle,1," 158,954 "," 174,849 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27690,96,ZILINGO,64756,Lifestyle,1," 72,590 "," 79,849 ",Zilingo Pick Up,60192,jawa timur
2019-01-02 00:01:00,SO27691,97,ZILINGO,60177,Outdoor,1," 213,500 "," 234,850 ",Zilingo Pick Up,20231,sumatera utara
2019-01-02 00:01:00,SO27692,98,ZILINGO,64754,Lifestyle,1," 81,681 "," 89,849 ",Zilingo Pick Up,22738,Sumatera Utara
2019-01-02 00:01:00,SO27693,99,ZILINGO,61341,Lifestyle,1," 81,681 "," 89,849 ",Zilingo Pick Up,61364,jawa timur
2019-01-02 00:01:00,SO27694,100,ZILINGO,67661,Outdoor,1," 127,136 "," 139,850 ",Zilingo Pick Up,67354,Jawa Timur
2019-01-02 00:01:00,SO27695,101,ZILINGO,64675,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,43254,jawa barat
2019-01-02 00:01:00,SO27683,102,ZILINGO,64085,Work,1," 86,227 "," 94,850 ",Zilingo Pick Up,53316,Jawa Tengah
2019-01-02 00:01:00,SO27674,43,ZILINGO,67608,Outdoor,1," 136,227 "," 149,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27796,103,ZILINGO,60442,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,12260,DKI Jakarta
2019-01-02 00:01:00,SO27797,104,ZILINGO,64765,Outdoor,1," 331,681 "," 364,849 ",Zilingo Pick Up,45114,Jawa Barat
2019-01-02 00:01:00,SO27798,105,ZILINGO,60290,Outdoor,1," 68,045 "," 74,850 ",Zilingo Pick Up,46325,Jawa Barat
